nim,ipk,total_sks,program_akselerasi
2001010001,3.48,141,Tidak
2001010002,3.56,144,Tidak
2001010003,3.68,144,Ya
2001010004,3.72,144,Ya
2001010005,3.18,141,Tidak
2001010006,0.0,19,Tidak
2001010007,3.15,144,Tidak
2001010008,3.41,144,Tidak
2001010009,3.47,138,Tidak
2001010010,1.31,51,Tidak
2001010011,2.86,138,Tidak
2001010012,2.33,95,Tidak
2001010013,2.34,144,Tidak
2001010014,3.8,138,Ya
2001010015,2.29,19,Tidak
2001010016,3.36,144,Tidak
2001010017,2.97,144,Tidak
2001010018,2.97,130,Tidak
2001010019,2.3,72,Tidak
2001010020,0.0,19,Tidak
2001010021,3.12,144,Tidak
2001010022,3.28,144,Tidak
2001010023,3.41,144,Tidak
2001010024,3.4,144,Tidak
2001010025,3.23,144,Tidak
2001010026,3.84,144,Ya
2001010027,2.57,41,Tidak
2001010028,3.57,147,Tidak
2001010030,2.98,147,Tidak
2001010031,3.58,144,Tidak
2001010032,3.84,144,Ya
2001010033,3.85,144,Ya
2001010034,3.7,147,Ya
2001010035,3.04,147,Tidak
2001010036,3.41,144,Tidak
2001010037,3.69,144,Ya
2001010038,3.6,144,Ya
2001010039,3.32,144,Tidak
2001010040,3.27,147,Tidak
2001010041,3.38,144,Tidak
2001010042,3.09,147,Tidak
2001010045,3.33,144,Tidak
2001010046,1.41,39,Tidak
2001010048,3.32,144,Tidak
2001010049,3.23,147,Tidak
2001010050,2.89,19,Tidak
2001010051,2.68,97,Tidak
2001010052,3.49,144,Tidak
2001010053,1.75,42,Tidak
2001010054,3.35,144,Tidak
2001010055,3.69,144,Ya
2001010056,2.12,39,Tidak
2001010057,3.44,144,Tidak
2001010058,2.06,89,Tidak
2001010059,3.37,41,Tidak
2001010060,1.36,95,Tidak
2001010061,2.24,51,Tidak
2001010062,1.71,59,Tidak
2001010063,3.04,144,Tidak
2001010064,2.82,138,Tidak
2001010065,3.32,19,Tidak
2001010066,3.0,147,Tidak
2001010067,3.66,147,Ya
2001010068,3.65,147,Ya
2001010069,3.8,144,Ya
2001010070,3.15,144,Tidak
2001010071,3.78,144,Ya
2001010072,2.07,89,Tidak
2001010073,3.51,144,Tidak
2001010074,3.3,141,Tidak
2001010075,3.26,144,Tidak
2001010076,3.39,144,Tidak
2001010077,1.79,105,Tidak
2001010078,3.56,144,Tidak
2001010079,3.83,147,Ya
2001010080,2.5,126,Tidak
2001010081,3.13,144,Tidak
2001010082,3.27,144,Tidak
2001010084,3.28,144,Tidak
2001010085,0.65,31,Tidak
2001010086,2.94,108,Tidak
2001010088,3.07,138,Tidak
2001010089,1.84,118,Tidak
2001010091,3.02,144,Tidak
2001010092,3.48,147,Tidak
2001010093,2.21,19,Tidak
2001010094,3.79,141,Ya
2001010095,2.4,42,Tidak
2001010096,3.84,144,Ya
2001010097,3.71,144,Ya
2001010098,0.0,31,Tidak
2001010099,3.95,147,Ya
2001010101,3.34,19,Tidak
2001010103,3.39,19,Tidak
2001010104,3.72,144,Ya
2001010105,1.98,68,Tidak
2001010106,3.36,147,Tidak
2001010107,3.1,147,Tidak
2001010108,3.65,89,Tidak
2001010109,3.79,141,Ya
2001010110,3.82,147,Ya
2001010111,0.0,19,Tidak
2001010112,3.65,138,Ya
2001010113,3.71,147,Ya
2001010114,3.54,147,Tidak
2001010115,2.79,147,Tidak
2001010116,3.05,144,Tidak
2001010117,3.36,144,Tidak
2001010118,0.21,19,Tidak
2001010119,3.51,147,Tidak
2001010120,2.19,108,Tidak
2001010121,3.45,147,Tidak
2001010122,3.88,144,Ya
2001010123,3.71,147,Ya
2001010124,2.85,65,Tidak
2001010125,3.6,141,Ya
2001010126,2.01,90,Tidak
2001010127,3.75,144,Ya
2001010128,3.22,147,Tidak
2001010129,3.13,144,Tidak
2001010130,1.15,104,Tidak
2001010131,2.85,141,Tidak
2001010132,1.27,39,Tidak
2001010134,3.05,141,Tidak
2001010135,3.44,141,Tidak
2001010136,3.55,144,Tidak
2001010137,2.68,141,Tidak
2001010138,2.74,135,Tidak
2001010139,3.05,144,Tidak
2001010140,3.08,19,Tidak
2001010141,3.39,41,Tidak
2001010142,3.5,144,Tidak
2001010143,3.17,145,Tidak
2001010144,3.58,147,Tidak
2001010145,3.85,144,Ya
2001010146,2.2,58,Tidak
2001010147,3.02,144,Tidak
2001010148,3.22,104,Tidak
2001010149,2.12,125,Tidak
2001010150,2.96,144,Tidak
2001010151,3.4,144,Tidak
2001010152,3.19,141,Tidak
2001010153,3.39,147,Tidak
2001010154,3.2,147,Tidak
2001010155,2.65,82,Tidak
2001010156,3.49,144,Tidak
2001010157,3.33,144,Tidak
2001010158,3.49,144,Tidak
2001010159,2.32,133,Tidak
2001010160,1.54,39,Tidak
2001010161,3.49,135,Tidak
2001010162,2.54,129,Tidak
2001010163,3.61,144,Ya
2001010164,3.32,41,Tidak
2001010165,0.79,19,Tidak
2001010166,3.66,147,Ya
2001010167,1.66,19,Tidak
2001010168,3.62,138,Ya
2001010169,3.47,147,Tidak
2001010170,3.21,144,Tidak
2001010171,3.32,144,Tidak
2001010172,3.62,144,Ya
2001010173,2.88,147,Tidak
2001010174,3.21,141,Tidak
2001010175,3.75,144,Ya
2001010176,3.61,144,Ya
2001010177,3.6,144,Ya
2001010178,3.56,144,Tidak
2001010179,2.19,96,Tidak
2001010180,3.08,144,Tidak
2001010181,3.45,147,Tidak
2001010182,0.79,19,Tidak
2001010183,2.63,62,Tidak
